/bloom,Storm,Reindeer,2,100.000000
/bloom,Lichen,Cactus,1,100.000000
/bloom,Plant,Frostfire,2,100.000000
/bloom,Bloom,Bloom,13,92.310000
/bloom,Lichen,Lava,2,50.000000
/bloom,Willow,Storm,14,42.854286
/bloom,Tree,Storm,9,33.336667
/bloom,Sonic,Cactus,3,33.330000
/bloom,Storm,Bloom,3,33.330000
/bloom,Reindeer,Lichen,3,33.330000
/bloom,Storm,Clover,57,29.822982
/bloom,Storm,Plant,893,24.187189
/bloom,Storm,Cactus,163,23.925153
/bloom,Storm,Lichen,567,23.106949
/bloom,Plant,Bloom,12,8.330000
/bloom,Lichen,Fire,12,8.330000
/bloom,Cold,Cactus,39,7.696667
/bloom,Frostfire,Blue,16,6.250000
/bloom,Lightning,Lichen,57,5.262456
/bloom,Storm,Seaweed,41,4.877805
/bloom,Plant,Fire,22,4.550000
/bloom,Storm,Poison,240,4.168083
/bloom,Storm,Flower,267,2.995169
/bloom,Quake,Air,107,0.930000
/bloom,Snow,Fire,302,0.330000
